id,name,country_id:id,code
sweden_state_151,Tjörn,base.se,1419
sweden_state_152,Orust,base.se,1421
sweden_state_153,Sotenäs,base.se,1427
sweden_state_154,Munkedal,base.se,1430
sweden_state_155,Tanum,base.se,1435
sweden_state_156,Dals-Ed,base.se,1438
sweden_state_157,Färgelanda,base.se,1439
sweden_state_158,Ale,base.se,1440
sweden_state_159,Lerum,base.se,1441
sweden_state_160,Vårgårda,base.se,1442
sweden_state_161,Bollebygd,base.se,1443
sweden_state_162,Grästorp,base.se,1444
sweden_state_163,Essunga,base.se,1445
sweden_state_164,Karlsborg,base.se,1446
sweden_state_165,Gullspång,base.se,1447
sweden_state_166,Tranemo,base.se,1452
sweden_state_167,Bengtsfors,base.se,1460
sweden_state_168,Mellerud,base.se,1461
sweden_state_169,Lilla Edet,base.se,1462
sweden_state_170,Mark,base.se,1463
sweden_state_171,Svenljunga,base.se,1465
sweden_state_172,Herrljunga,base.se,1466
sweden_state_173,Vara,base.se,1470
sweden_state_174,Götene,base.se,1471
sweden_state_175,Tibro,base.se,1472
sweden_state_176,Töreboda,base.se,1473
sweden_state_177,Göteborg,base.se,1480
sweden_state_178,Mölndal,base.se,1481
sweden_state_179,Kungälv,base.se,1482
sweden_state_180,Lysekil,base.se,1484
sweden_state_181,Uddevalla,base.se,1485
sweden_state_182,Strömstad,base.se,1486
sweden_state_183,Vänersborg,base.se,1487
sweden_state_184,Trollhättan,base.se,1488
sweden_state_185,Alingsås,base.se,1489
sweden_state_186,Borås,base.se,1490
sweden_state_187,Ulricehamn,base.se,1491
sweden_state_188,Åmål,base.se,1492
sweden_state_189,Mariestad,base.se,1493
sweden_state_190,Lidköping,base.se,1494
sweden_state_191,Skara,base.se,1495
sweden_state_192,Skövde,base.se,1496
sweden_state_193,Hjo,base.se,1497
sweden_state_194,Tidaholm,base.se,1498
sweden_state_195,Falköping,base.se,1499
sweden_state_196,Värmlands län,base.se,17
sweden_state_197,Kil,base.se,1715
sweden_state_198,Eda,base.se,1730
sweden_state_199,Torsby,base.se,1737
sweden_state_200,Storfors,base.se,1760
sweden_state_201,Hammarö,base.se,1761
sweden_state_202,Munkfors,base.se,1762
sweden_state_203,Forshaga,base.se,1763
sweden_state_204,Grums,base.se,1764
sweden_state_205,Årjäng,base.se,1765
sweden_state_206,Sunne,base.se,1766
sweden_state_207,Karlstad,base.se,1780
sweden_state_208,Kristinehamn,base.se,1781
sweden_state_209,Filipstad,base.se,1782
sweden_state_210,Hagfors,base.se,1783
sweden_state_211,Arvika,base.se,1784
sweden_state_212,Säffle,base.se,1785
sweden_state_213,Örebro län,base.se,18
sweden_state_214,Lekeberg,base.se,1814
sweden_state_215,Laxå,base.se,1860
sweden_state_216,Hallsberg,base.se,1861
sweden_state_217,Degerfors,base.se,1862
sweden_state_218,Hällefors,base.se,1863
sweden_state_219,Ljusnarsberg,base.se,1864
sweden_state_220,Örebro,base.se,1880
sweden_state_221,Kumla,base.se,1881
sweden_state_222,Askersund,base.se,1882
sweden_state_223,Karlskoga,base.se,1883
sweden_state_224,Nora,base.se,1884
sweden_state_225,Lindesberg,base.se,1885
sweden_state_226,Västmanlands län,base.se,19
sweden_state_227,Skinnskatteberg,base.se,1904
sweden_state_228,Surahammar,base.se,1907
sweden_state_229,Kungsör,base.se,1960
sweden_state_230,Hallstahammar,base.se,1961
sweden_state_231,Norberg,base.se,1962
sweden_state_232,Västerås,base.se,1980
sweden_state_233,Sala,base.se,1981
sweden_state_234,Fagersta,base.se,1982
sweden_state_235,Köping,base.se,1983
sweden_state_236,Arboga,base.se,1984
sweden_state_237,Dalarnas län,base.se,20
sweden_state_238,Vansbro,base.se,2021
sweden_state_239,Malung-Sälen,base.se,2023
sweden_state_240,Gagnef,base.se,2026
sweden_state_241,Leksand,base.se,2029
sweden_state_242,Rättvik,base.se,2031
sweden_state_243,Orsa,base.se,2034
sweden_state_244,Älvdalen,base.se,2039
sweden_state_245,Smedjebacken,base.se,2061
sweden_state_246,Mora,base.se,2062
sweden_state_247,Falun,base.se,2080
sweden_state_248,Borlänge,base.se,2081
sweden_state_249,Säter,base.se,2082
sweden_state_250,Hedemora,base.se,2083
sweden_state_251,Avesta,base.se,2084
sweden_state_252,Ludvika,base.se,2085
sweden_state_253,Gävleborgs län,base.se,21
sweden_state_254,Ockelbo,base.se,2101
sweden_state_255,Hofors,base.se,2104
sweden_state_256,Ovanåker,base.se,2121
sweden_state_257,Nordanstig,base.se,2132
sweden_state_258,Ljusdal,base.se,2161
sweden_state_259,Gävle,base.se,2180
sweden_state_260,Sandviken,base.se,2181
sweden_state_261,Söderhamn,base.se,2182
sweden_state_262,Bollnäs,base.se,2183
sweden_state_263,Hudiksvall,base.se,2184
sweden_state_264,Västernorrlands län,base.se,22
sweden_state_265,Ånge,base.se,2260
sweden_state_266,Timrå,base.se,2262
sweden_state_267,Härnösand,base.se,2280
sweden_state_268,Sundsvall,base.se,2281
sweden_state_269,Kramfors,base.se,2282
sweden_state_270,Sollefteå,base.se,2283
sweden_state_271,Örnsköldsvik,base.se,2284
sweden_state_272,Jämtlands län,base.se,23
sweden_state_273,Ragunda,base.se,2303
sweden_state_274,Bräcke,base.se,2305
sweden_state_275,Krokom,base.se,2309
sweden_state_276,Strömsund,base.se,2313
sweden_state_277,Åre,base.se,2321
sweden_state_278,Berg,base.se,2326
sweden_state_279,Härjedalen,base.se,2361
sweden_state_280,Östersund,base.se,2380
sweden_state_281,Västerbottens län,base.se,24
sweden_state_282,Nordmaling,base.se,2401
sweden_state_283,Bjurholm,base.se,2403
sweden_state_284,Vindeln,base.se,2404
sweden_state_285,Robertsfors,base.se,2409
sweden_state_286,Norsjö,base.se,2417
sweden_state_287,Malå,base.se,2418
sweden_state_288,Storuman,base.se,2421
sweden_state_289,Sorsele,base.se,2422
sweden_state_290,Dorotea,base.se,2425
sweden_state_291,Vännäs,base.se,2460
sweden_state_292,Vilhelmina,base.se,2462
sweden_state_293,Åsele,base.se,2463
sweden_state_294,Umeå,base.se,2480
sweden_state_295,Lycksele,base.se,2481
sweden_state_296,Skellefteå,base.se,2482
sweden_state_297,Norrbottens län,base.se,25
sweden_state_298,Arvidsjaur,base.se,2505
sweden_state_299,Arjeplog,base.se,2506
sweden_state_300,Jokkmokk,base.se,2510
sweden_state_301,Överkalix,base.se,2513
sweden_state_302,Kalix,base.se,2514
sweden_state_303,Övertorneå,base.se,2518
sweden_state_304,Pajala,base.se,2521
sweden_state_305,Gällivare,base.se,2523
sweden_state_306,Älvsbyn,base.se,2560
sweden_state_307,Luleå,base.se,2580
sweden_state_308,Piteå,base.se,2581
sweden_state_309,Boden,base.se,2582
sweden_state_310,Haparanda,base.se,2583
sweden_state_311,Kiruna,base.se,2584
